simulation,mass1,radius1,logg1,mass2,radius2,logg2
00057,1.13630,0.66113,4.85299,1.29926,3.28896,3.51765
00058,1.22413,2.82992,3.62235,1.35648,1.34679,4.31188
00059,1.31133,0.79528,4.75474,1.54469,4.95620,3.23661
00060,1.14588,0.58295,4.96594,1.62871,6.57437,3.01420
00061,1.31572,5.53125,3.07159,1.40259,1.31322,4.34833
00062,1.23117,0.79297,4.72987,0.36042,0.42336,4.74146
00063,1.25903,5.01954,3.13678,1.08686,1.19912,4.31652
00064,1.21529,2.78549,3.63294,1.40908,1.46130,4.25752
00065,1.19980,0.60435,4.95459,0.23319,1.15493,3.68066
00066,1.03203,4.82712,3.08438,0.12672,0.69283,3.85968
00067,1.09391,1.14331,4.36072,1.36167,1.10941,4.48195
00068,1.13344,0.93321,4.55250,0.19161,0.61359,4.14473
00069,1.11480,0.79090,4.68902,0.47517,0.40973,4.88991
00070,1.08669,1.77452,3.97601,0.19691,0.58642,4.19592
00071,1.29154,3.32016,3.50686,1.28275,0.82007,4.71851
00072,1.04897,4.33557,3.18474,0.88929,1.21241,4.21981
00073,1.09755,4.05104,3.26336,1.17438,2.45540,3.72763
00074,1.26457,1.23343,4.35778,0.85995,4.73158,3.02253
00075,1.36700,3.61497,3.45763,1.33734,1.28620,4.34569
00076,1.17467,2.96104,3.56510,0.99198,1.18586,4.28650
00077,1.33493,1.21731,4.39273,0.90430,3.81329,3.23178
00078,1.00895,2.35764,3.69698,1.49996,2.44295,3.83832
00079,1.39517,6.01717,3.02391,1.86097,4.94191,3.32002
00080,1.08256,3.16494,3.47179,0.56827,2.91271,3.26403
00081,1.07254,1.96977,3.87965,1.49749,1.83482,4.08625
00082,1.19756,3.00523,3.56061,0.80334,4.05609,3.12675
00083,1.35438,0.80276,4.76064,1.36447,5.35518,3.11548
00084,1.07111,0.87731,4.58160,1.28514,2.16900,3.87450
00085,1.15189,4.84609,3.12870,0.75190,3.00964,3.35720
00086,1.03864,1.62978,4.03027,1.05785,2.26437,3.75260
00087,1.33316,1.79370,4.05545,1.91211,2.28385,4.00225
00088,1.39367,2.73042,3.70977,1.76986,6.20938,3.09991
00089,1.15664,2.83613,3.59581,0.44019,2.37342,3.33096
00090,1.03825,1.92729,3.88447,1.32005,0.90558,4.64481
00091,1.07262,0.92143,4.53959,1.28425,5.64945,3.04270
00092,1.19668,0.96595,4.54614,0.50843,0.70974,4.44209
00093,1.24126,4.32190,3.26058,1.23466,2.51050,3.73009
00094,1.32933,0.92722,4.62734,0.51489,3.68524,3.01685
00095,1.29665,1.85397,4.01468,0.87404,0.97617,4.40055
00096,1.30845,1.08173,4.48659,0.59007,0.90849,4.29233
00097,1.17916,2.24938,3.80552,0.13025,1.18345,3.40656
00098,1.25061,2.29129,3.81503,0.62738,3.00868,3.27884
00099,1.03769,3.20822,3.44161,1.52537,0.98253,4.63675
00100,1.26739,0.91903,4.61432,0.61060,2.31422,3.49502
00101,1.30618,3.77304,3.40069,0.44165,0.74273,4.34148
00102,1.24618,0.75586,4.77677,1.42147,2.10802,3.94306
00103,1.36656,3.81282,3.41120,0.67287,1.50133,3.91304
00104,1.03287,1.36856,4.17959,1.37723,2.13778,3.91715
00105,1.15525,1.22476,4.32464,0.73251,0.79620,4.50084
00106,1.19980,0.91869,4.59084,0.47907,1.40852,3.82094
00107,1.10925,1.13136,4.37590,1.44543,0.63168,4.99707
00108,1.15299,0.76382,4.73392,0.23146,0.34150,4.73577
00109,1.31126,0.83727,4.71002,0.45594,1.11677,4.00105
00110,1.28009,1.48022,4.20466,1.35338,1.48430,4.22645
00111,1.30235,1.85617,4.01556,0.22327,1.53059,3.41717
00112,1.28717,1.90417,3.98829,0.70024,1.66561,3.84017
00113,1.20214,0.76022,4.75614,1.77200,0.76095,4.92382
00114,1.14938,0.82280,4.66794,0.91909,3.78220,3.24594
00115,1.30246,1.59980,4.14470,1.72831,5.72869,3.15958
00116,1.15997,4.56292,3.18403,0.98268,0.83744,4.58457
00117,1.12660,1.53704,4.11647,1.56748,2.88780,3.71214
00118,1.08465,2.45134,3.69455,0.68357,0.67704,4.61161
00119,1.08881,2.45239,3.69584,1.11986,0.78934,4.69270
00120,1.35581,3.05720,3.59962,1.64262,2.38267,3.89948
00121,1.27237,2.11936,3.89027,0.65155,2.89953,3.32736
00122,1.23148,1.04405,4.49105,0.67204,1.05395,4.21982
00123,1.32367,1.65374,4.12291,0.62228,0.91066,4.31335
00124,1.28526,2.14896,3.88260,1.51670,3.58488,3.51002
00125,1.30815,4.17061,3.31433,1.84285,1.09769,4.62260
00126,1.32115,2.11776,3.90726,1.16164,0.71422,4.79547
00127,1.26979,0.61628,4.96224,0.87674,2.98509,3.43103
00128,1.23383,1.68754,4.07481,0.93425,3.55128,3.30776
00129,1.34471,4.65564,3.23074,0.24292,1.08733,3.75081
00130,1.16751,2.77111,3.62002,0.85328,2.80939,3.47193
00131,1.23478,0.61754,4.94832,0.53644,2.94395,3.22973
00132,1.25470,3.74412,3.38991,0.43056,3.07324,3.09691
00133,1.13252,1.33141,4.24349,1.42311,1.61166,4.17676
00134,1.15615,1.40010,4.20876,0.67788,1.18827,4.11939
00135,1.29472,3.57530,3.44362,1.81036,3.93591,3.50574
00136,1.30692,1.92776,3.98421,1.89609,1.94915,4.13624
00137,1.31798,0.78433,4.76898,1.57062,1.48369,4.29145
00138,1.08811,0.63717,4.86623,0.88024,3.17561,3.37901
00139,1.14533,3.24277,3.47516,0.77410,1.93794,3.75218
00140,1.18409,1.97153,3.92185,0.55208,1.28199,3.96430
00141,1.33641,1.44820,4.24235,0.36358,0.93713,4.05507
00142,1.38457,0.62842,4.98288,1.70633,3.77078,3.51727
00143,1.19463,3.33609,3.46882,1.15248,0.82290,4.66900
00144,1.14150,0.93273,4.55603,1.22900,1.98748,3.93102
00145,1.35940,4.72269,3.22304,0.22926,2.22119,3.10522
00146,1.27821,1.03956,4.51097,0.81965,0.58926,4.81109
00147,1.32201,3.03787,3.59416,1.41402,5.11389,3.17102
00148,1.37099,3.28580,3.54182,0.63801,2.11234,3.59337
00149,1.16153,3.31133,3.46309,1.49944,4.92706,3.22882
00150,1.29879,0.74819,4.80358,1.57940,5.12327,3.21747
00151,1.29310,1.09923,4.46752,1.92857,1.41583,4.42128
00152,1.37212,0.87141,4.69501,0.84700,1.04566,4.32717
00153,1.32023,3.38945,3.49846,0.20496,0.95736,3.78758
00154,1.18706,1.10230,4.42794,1.36114,3.47126,3.49100
00155,1.06337,0.80691,4.65110,0.68070,1.61314,3.85568
00156,1.26342,2.16848,3.86731,0.93595,3.86958,3.23399
00157,1.29451,3.72557,3.40779,1.63947,0.68180,4.98545
00158,1.04446,2.10441,3.81070,0.92228,1.34467,4.14570
00159,1.21730,5.11831,3.10521,0.56269,2.28307,3.47130
00160,1.37515,0.83558,4.73245,0.40564,0.35814,4.93811
00161,1.10465,2.35932,3.73572,1.55016,5.22804,3.19177
00162,1.31408,1.21447,4.38792,1.36298,5.80747,3.04458
00163,1.11113,0.79168,4.68673,1.20032,1.15477,4.39237
00164,1.27723,4.14364,3.30957,1.66235,3.45206,3.58263
00165,1.07446,0.72129,4.75304,1.04294,0.74122,4.71643
00166,1.39284,0.68278,4.91341,1.88560,0.81446,4.89178
00167,1.00906,3.20128,3.43134,1.47804,1.15779,4.48049
00168,1.32129,1.24900,4.36594,1.17581,0.71151,4.80404
00169,1.02226,0.68115,4.78115,1.52992,1.64459,4.19062
00170,1.39202,1.38936,4.29608,0.79381,1.50242,3.98420
00171,1.28465,2.97273,3.60054,0.65548,0.71769,4.54276
00172,1.14975,0.72733,4.77521,1.65358,1.01556,4.64308
00173,1.23896,4.76927,3.17422,0.14969,1.88601,3.06218
00174,1.29263,4.48754,3.24553,1.76470,0.95856,4.72150
00175,1.39214,1.75538,4.09301,0.37482,1.34323,3.75559
00176,1.16680,0.58040,4.97762,0.93747,1.37565,4.13301
00177,1.25709,0.89405,4.63471,0.83991,2.27873,3.64692
00178,1.17244,1.53875,4.13282,1.62784,1.01557,4.63626
00179,1.18214,0.73753,4.77518,0.97529,1.35999,4.16013
00180,1.34624,0.85038,4.70797,0.18093,0.33196,4.65341
00181,1.28439,0.62140,4.96002,1.13644,0.58422,4.96047
00182,1.34637,2.59033,3.74052,1.82286,5.56870,3.20731
00183,1.22298,4.83647,3.15643,1.44245,0.69985,4.90715
00184,1.07837,3.70000,3.33443,0.89300,1.10704,4.30059
00185,1.30533,1.08446,4.48336,0.62158,1.91043,3.66930
00186,1.21977,0.81881,4.69798,1.52103,1.94618,4.04184
00187,1.05281,1.50504,4.10532,1.27300,1.34717,4.28405
00188,1.01350,0.60190,4.88484,1.31701,5.85733,3.02226
00189,1.07746,0.99333,4.47628,0.89570,1.52315,4.02474
00190,1.10305,2.69105,3.62082,1.13943,0.84773,4.63824
00191,1.21209,2.12117,3.86845,1.28113,2.23818,3.84587
00192,1.05818,0.71592,4.75290,0.37083,0.52469,4.56744
00193,1.17133,3.47047,3.42597,1.62538,1.84778,4.11572
00194,1.36850,1.16869,4.43891,1.61074,1.92563,4.07595
00195,1.23826,2.79449,3.63827,0.14604,0.38199,4.43844
00196,1.22141,3.15247,3.52763,0.33629,1.97042,3.37567
00197,1.03604,4.43617,3.15943,0.73439,2.90588,3.37744
00198,1.01842,3.25777,3.42016,0.34018,1.71548,3.50100
00199,1.39798,4.65693,3.24737,1.94546,1.31853,4.48691
00200,1.02058,1.44974,4.12433,0.62784,0.42325,4.98273
00201,1.25289,2.66636,3.68414,0.31345,1.91837,3.36837
00202,1.00634,1.16256,4.30998,0.20505,0.71559,4.04060
00203,1.29009,2.43289,3.77644,0.58899,1.12163,4.10848
00204,1.26659,0.68219,4.87289,0.18487,2.15539,3.03788
00205,1.18798,0.77385,4.73556,0.94891,0.59575,4.86516
00206,1.26249,3.00319,3.58413,0.55554,0.74887,4.43397
00207,1.07215,0.85813,4.60121,0.21334,0.39032,4.58429
00208,1.10902,0.69388,4.80044,0.18999,1.00302,3.71417
00209,1.06379,3.43176,3.39389,0.42870,2.18115,3.39285
00210,1.36021,3.57705,3.46462,1.74030,5.90191,3.13671
00211,1.25071,1.75712,4.04562,0.87720,2.84581,3.47276
00212,1.18950,2.01867,3.90330,1.09384,1.66019,4.03670
00213,1.20280,3.39711,3.45604,0.65990,0.45726,4.93723
00214,1.08779,1.88177,3.92548,1.06067,0.68217,4.79587
00215,1.07877,3.90995,3.28665,1.61404,0.67156,4.99182
00216,1.35917,1.91959,4.00492,1.90355,3.30064,3.68043
00217,1.14151,1.35828,4.22957,0.40634,1.39060,3.76055
00218,1.05630,0.69222,4.78137,0.15738,1.56107,3.24818
00219,1.20835,1.26331,4.31724,0.15365,1.40706,3.32798
00220,1.39526,1.63050,4.15808,1.96375,0.83649,4.88623
00221,1.28412,4.91403,3.16380,1.85252,5.39564,3.24174
00222,1.28848,1.27584,4.33655,1.43986,2.62307,3.75877
00223,1.08947,0.64530,4.85576,1.08691,1.40795,4.17709
00224,1.23690,5.15466,3.10600,0.39569,0.87689,4.14954
00225,1.04919,4.66914,3.12045,0.77533,0.64305,4.71106
00226,1.04441,1.52645,4.08958,1.18321,3.62049,3.39360
00227,1.24166,4.42081,3.24107,1.19490,0.94284,4.56652
00228,1.19440,4.96845,3.12278,1.21729,0.60843,4.95505
00229,1.04609,3.30859,3.41835,0.22251,0.99553,3.78930
00230,1.09165,1.73209,3.99901,1.62819,0.78483,4.86022
00231,1.31128,1.34515,4.29822,1.14927,1.67396,4.05100
00232,1.25576,5.43624,3.06638,1.13117,0.66675,4.84367
00233,1.07974,4.09273,3.24736,0.14643,0.73427,3.87198
00234,1.20502,0.73815,4.78277,0.88419,2.77109,3.49931
00235,1.27356,5.24702,3.10326,1.89155,1.33342,4.46495
00236,1.17634,0.84827,4.65153,0.65048,4.01796,3.04329
00237,1.08130,3.07368,3.49670,0.61750,2.27625,3.51426
00238,1.01365,2.80276,3.54878,0.79107,0.70197,4.64364
00239,1.04302,1.13003,4.35018,0.30229,0.35089,4.82815
00240,1.24132,0.64781,4.90906,0.80795,2.82779,3.44256
00241,1.07897,0.81535,4.64839,0.64559,2.12135,3.59480
00242,1.22058,1.12391,4.42317,1.00011,2.80065,3.54360
00243,1.06729,5.10475,3.05040,0.24222,0.44085,4.53369
00244,1.15392,4.33705,3.22586,1.26678,3.57041,3.43534
00245,1.12415,1.96598,3.90173,0.99662,0.91772,4.51117
00246,1.23451,4.21364,3.28025,0.51302,3.11963,3.16000
00247,1.01092,1.22722,4.26494,0.76195,3.59280,3.20913
00248,1.03621,4.50222,3.14666,0.80044,4.09340,3.11723
00249,1.00599,2.73277,3.56746,1.36303,0.79981,4.76660
00250,1.05893,2.26452,3.75298,1.53918,2.83329,3.72077
00251,1.14233,1.30580,4.26411,0.29596,0.76032,4.14730
00252,1.37276,0.62110,4.98934,1.28496,4.72538,3.19809
00253,1.28848,5.04628,3.14220,0.74432,2.55673,3.49446
00254,1.19177,3.56643,3.40979,0.65920,0.50867,4.84421
00255,1.00775,0.60503,4.87786,0.35052,0.41422,4.74833
00256,1.06483,1.72878,3.98987,1.08420,1.16314,4.34191
00257,1.05868,1.34774,4.20362,0.68008,0.90620,4.35618
00258,1.22182,2.25920,3.81717,1.26114,1.58153,4.14068
00259,1.01315,0.59530,4.89427,0.65163,3.15154,3.25502
00260,1.22583,0.83957,4.67838,0.80130,1.96804,3.75379
00261,1.34827,2.59835,3.73845,1.97374,5.12811,3.31344
00262,1.35483,1.84507,4.03793,0.95402,4.15754,3.17995
00263,1.32581,1.32780,4.31428,0.93957,2.01822,3.80106
00264,1.04154,1.59275,4.05145,1.37203,2.69071,3.71570
00265,1.34151,0.83917,4.71796,0.90638,1.06305,4.34227
00266,1.09892,1.65220,4.04291,0.27619,0.53290,4.42598
00267,1.12369,3.19772,3.47903,0.63633,0.79966,4.43594
00268,1.36325,0.85535,4.70835,0.17442,0.31290,4.68888
00269,1.12533,0.78102,4.70403,1.15721,0.96190,4.53522
00270,1.15581,2.31739,3.77095,0.14109,0.43831,4.30400
00271,1.13150,3.63547,3.37060,1.42630,3.27745,3.56120
00272,1.07705,2.60871,3.63745,0.97810,1.66979,3.98313
00273,1.33912,0.67894,4.90122,1.45842,5.00099,3.20384
00274,1.28387,4.39274,3.26112,1.73331,0.82807,4.84081
00275,1.36602,1.41111,4.27440,0.20337,0.34144,4.67973
00276,1.25165,1.73840,4.05525,0.55492,2.51478,3.38130
00277,1.04364,1.75516,3.96799,1.02577,0.99666,4.45203
00278,1.01800,0.77500,4.66721,0.96593,0.53608,4.96456
00279,1.04890,1.05239,4.41445,0.89937,3.73000,3.24859
00280,1.02084,0.77978,4.66308,1.49769,6.02977,3.05289
00281,1.11821,0.58909,4.94622,1.63693,0.90442,4.73936
00282,1.37159,2.08218,3.93826,0.80921,0.57392,4.82843
00283,1.19595,2.10798,3.86805,0.46460,0.48709,4.72993
00284,1.26441,0.77006,4.76691,1.72328,5.34279,3.21889
00285,1.34296,2.78139,3.67761,1.51583,1.29223,4.39604
00286,1.03812,0.57270,4.93846,0.63008,1.66383,3.79524
00287,1.26151,0.93265,4.59952,0.79902,1.34826,4.08108
00288,1.24349,4.61895,3.20362,1.81465,1.46721,4.36387
00289,1.24422,2.33643,3.79586,0.78820,3.43829,3.26202
00290,1.09360,3.71320,3.33743,0.81254,0.60769,4.78055
00291,1.10786,2.37513,3.73118,0.96889,1.25229,4.22893
00292,1.36589,1.35339,4.31064,1.45024,0.87700,4.71351
00293,1.09857,2.28338,3.76174,0.86768,4.43138,3.08335
00294,1.27236,3.19356,3.53413,1.65240,3.67626,3.52537
00295,1.06648,3.16819,3.46440,1.19264,0.65471,4.88247
00296,1.08875,1.39741,4.18435,0.98072,1.11470,4.33530
00297,1.12845,3.57878,3.38308,1.32055,1.67997,4.10822
00298,1.37872,2.64364,3.73314,0.86858,3.45202,3.30073
00299,1.30225,0.90927,4.63537,1.85567,0.86668,4.83085
00300,1.29192,0.70247,4.85605,0.99825,2.10460,3.79097
00301,1.25587,2.81568,3.63785,1.37597,0.92443,4.64493
00302,1.24560,2.47328,3.74690,1.86082,1.00086,4.70703
00303,1.04263,1.01633,4.44212,0.87533,2.66774,3.52795
00304,1.25092,1.08924,4.46105,0.22397,0.55233,4.30387
00305,1.07572,3.37329,3.41366,1.25590,0.94095,4.58989
00306,1.37794,3.88379,3.39879,0.54286,1.12846,4.06779
00307,1.24800,0.77141,4.75972,0.24263,1.36514,3.55266
00308,1.04834,1.78946,3.95312,0.13441,1.88459,3.01607
00309,1.28002,1.14114,4.43061,0.16552,0.37945,4.49860
00310,1.02916,1.75968,3.95969,0.15360,0.66968,3.97273
00311,1.20037,1.65552,4.07951,1.00809,4.59354,3.11727
00312,1.32570,1.66409,4.11816,1.94464,2.18888,4.04646
00313,1.17676,3.47481,3.42689,0.72519,0.66623,4.65127
00314,1.19345,1.72845,4.03956,0.62496,1.58538,3.83366
00315,1.17970,2.82316,3.60837,1.45538,3.37627,3.54417
00316,1.08128,1.73293,3.99444,1.04789,0.63721,4.84982
00317,1.22382,1.77722,4.02631,0.22461,1.50569,3.43402
00318,1.09485,3.66512,3.34924,0.96168,1.53527,4.04873
00319,1.00710,0.53714,4.98097,0.33500,1.10322,3.87779
00320,1.00172,0.83604,4.59435,0.17523,0.87454,3.79811
00321,1.19965,1.16673,4.38318,1.08575,1.81604,3.95555
00322,1.00416,1.94604,3.86157,1.14179,0.70471,4.79963
00323,1.07998,5.17668,3.04338,0.47113,0.87246,4.22972
00324,1.21693,2.68865,3.66426,0.56826,0.50408,4.78761
00325,1.05381,2.14416,3.79831,1.22081,2.49226,3.73153
00326,1.35683,2.07647,3.93594,0.73916,1.50053,3.95431
00327,1.28353,0.83974,4.69818,0.17380,0.65329,4.04789
00328,1.09679,2.59396,3.65027,1.00437,1.96056,3.85520
00329,1.14389,2.13129,3.83917,0.50311,2.82815,3.23673
00330,1.09474,2.60961,3.64423,1.61704,5.11365,3.22933
00331,1.24590,2.42524,3.76404,1.35751,3.52986,3.47529
00332,1.12212,2.71656,3.62007,1.08757,0.79428,4.67457
00333,1.03462,1.56049,4.06633,0.80182,0.78573,4.55160
00334,1.31052,1.70317,4.09300,0.74843,1.90101,3.75425
00335,1.19092,3.07506,3.53824,1.24561,2.32214,3.80167
00336,1.39020,1.52319,4.21564,0.74705,0.69403,4.62867
00337,1.29509,1.42502,4.24272,1.57925,6.16109,3.05720
00338,1.11118,0.78066,4.69893,1.47954,1.48150,4.26679
00339,1.32875,1.23811,4.37599,1.48464,5.87720,3.07135
00340,1.00481,2.64417,3.59557,1.05959,1.23594,4.27921
00341,1.06713,3.96089,3.27070,0.64797,0.68018,4.58437
00342,1.36414,1.40542,4.27732,0.53385,1.56106,3.77865
00343,1.38617,0.77173,4.80496,1.17070,1.94325,3.92946
00344,1.31443,3.60284,3.44352,0.88383,1.70669,3.92013
00345,1.14189,3.93379,3.30607,0.42869,0.38178,4.90658
00346,1.02806,0.73508,4.71741,1.30793,5.87162,3.01713
00347,1.19915,4.73751,3.16584,0.14942,0.76355,3.84680
00348,1.04155,0.55722,4.96369,1.02431,4.20889,3.20016
00349,1.38720,1.43477,4.26664,0.97269,3.04361,3.45926
00350,1.26599,0.80403,4.72996,1.10622,0.90734,4.56637
00351,1.20097,0.84269,4.66627,0.68234,3.41948,3.20415
00352,1.11310,0.98454,4.49814,1.61071,3.23366,3.62570
00353,1.17395,0.74528,4.76308,1.22527,5.78538,3.00164
00354,1.03009,1.67387,4.00350,1.27000,3.89870,3.36003
00355,1.19051,2.08965,3.87365,1.08462,0.73982,4.73510
00356,1.30186,1.27651,4.34059,1.56670,3.51101,3.54219
00357,1.32354,5.75131,3.04027,0.40502,0.36194,4.92827
00358,1.23593,1.11259,4.43739,1.12665,3.02191,3.52930
00359,1.09360,0.95079,4.52076,1.01747,4.74537,3.09305
00360,1.06524,3.31241,3.42523,0.10940,1.48605,3.13303
00361,1.22535,1.81774,4.00727,1.56024,1.62814,4.20787
00362,1.20454,3.77869,3.36420,1.01568,1.24984,4.25111
00363,1.28476,1.57983,4.14967,1.70885,5.12990,3.25055
00364,1.38171,1.38549,4.29527,1.30618,1.41254,4.25407
00365,1.11377,4.37617,3.20268,0.82141,3.98870,3.15096
00366,1.03664,5.12574,3.03418,0.16569,0.36721,4.52752
00367,1.05125,1.40884,4.16205,1.17500,0.62965,4.90991
00368,1.21541,4.86772,3.14814,0.65574,1.46666,3.92214
00369,1.37183,1.61496,4.15904,0.38909,2.17622,3.35271
00370,1.27442,3.78408,3.38746,1.44678,1.05500,4.55196
00371,1.01149,1.00058,4.44253,1.28261,0.86846,4.66866
00372,1.36066,0.85007,4.71290,1.38035,5.77561,3.05486
00373,1.09783,3.45648,3.40134,1.47113,2.32693,3.87215
00374,1.01522,2.24825,3.74094,0.20250,0.45003,4.43800
00375,1.19073,3.35422,3.46270,0.73211,1.06183,4.25053
00376,1.22480,4.22702,3.27406,1.48756,1.72490,4.13701
00377,1.05873,1.43772,4.14750,1.44382,1.12409,4.49598
00378,1.06799,2.10448,3.82035,1.12994,0.89363,4.58880
00379,1.25284,1.92978,3.96495,0.30784,1.99969,3.32447
00380,1.01613,3.03145,3.48172,0.19023,0.26530,4.86988
00381,1.31802,3.45606,3.48083,0.38500,2.19607,3.34024
00382,1.22263,0.83257,4.68452,0.99771,1.10982,4.34657
00383,1.33074,4.63919,3.22928,1.18260,3.04420,3.54396
00384,1.24491,3.27331,3.50323,1.30347,3.06141,3.58133
00385,1.20326,2.56107,3.70158,0.43319,0.39639,4.87851
00386,1.34822,4.07122,3.34838,0.16632,1.41720,3.35614
00387,1.37397,0.76964,4.80347,0.65852,1.27982,4.04234
00388,1.13307,3.08491,3.51384,1.27163,2.84534,3.63416
00389,1.26434,2.98166,3.59102,1.23429,4.63907,3.19663
00390,1.00212,0.65029,4.81278,0.79500,1.42934,4.02817
00391,1.17305,5.11663,3.08942,1.29476,0.73331,4.81968
00392,1.08869,0.55034,4.99371,1.35587,1.41501,4.26877
00393,1.12459,1.47172,4.15341,0.51065,0.64019,4.53357
00394,1.16825,1.15541,4.38013,0.20127,2.19422,3.05928
00395,1.28453,1.01363,4.53505,0.15222,0.32765,4.58973
00396,1.26876,1.90324,3.98246,0.70143,2.72238,3.41416
00397,1.33301,1.62004,4.14385,1.67145,0.82705,4.82610
00398,1.00797,1.13127,4.33438,1.13701,1.10852,4.40434
00399,1.12530,4.55369,3.17261,0.62083,0.75812,4.47156
00400,1.34171,4.32289,3.29418,0.23088,0.29298,4.86777
00401,1.12634,0.98384,4.50389,1.49365,0.72178,4.89551
00402,1.23562,1.74853,4.04460,1.09338,1.97106,3.88744
00403,1.07844,1.67831,4.02112,0.72972,0.97817,4.32040
00404,1.13726,2.35354,3.75048,0.31896,1.32561,3.69697
00405,1.18570,5.15382,3.08778,1.13377,1.15178,4.36985
00406,1.18298,5.10430,3.09517,1.50149,1.84099,4.08448
00407,1.19429,3.92920,3.32657,0.23856,0.31498,4.81910
00408,1.19751,1.20862,4.35177,0.64982,0.42338,4.99740
00409,1.29421,2.07327,3.91676,1.86739,3.14599,3.71379
00410,1.17748,0.56958,4.99791,0.50649,0.49653,4.75075
00411,1.24631,5.47770,3.05650,1.81458,2.16192,4.02716
00412,1.32921,0.78635,4.77043,0.32634,1.42266,3.64554
00413,1.03331,2.52274,3.64855,1.53128,4.77011,3.26606
00414,1.37473,3.51059,3.48552,1.12225,4.46611,3.18830
00415,1.08379,1.18638,4.32456,1.20339,0.70163,4.82625
00416,1.36252,1.04166,4.53696,0.34467,0.68050,4.30981
00417,1.24368,4.45127,3.23581,1.00817,0.74228,4.70047
00418,1.18004,5.27076,3.06622,1.30560,1.06902,4.49590
00419,1.24555,1.51759,4.17112,0.75716,1.48555,3.97349
00420,1.00876,0.83316,4.60040,0.98281,2.40661,3.66773
00421,1.03858,1.54773,4.07512,1.39885,1.12599,4.48077
